name,price,description,stock quantity,category
Small Marble Chair,69.36,Id reprehenderit quidem velit magni sed eveniet.,480,Kids & Games
Heavy Duty Linen Clock,42.01,Voluptatem reprehenderit sed omnis eius explicabo est dolore aut.,3644,Kids & Games
Mediocre Aluminum Plate,83.43,Officia repellat sed iste blanditiis voluptatem quos voluptate laboriosam praesentium.,1300,Kids & Games
Heavy Duty Iron Bench,24.72,Ducimus sit sed qui voluptas consequatur eaque sequi dignissimos nesciunt.,1303,"Tools, Toys & Sports"
Mediocre Rubber Pants,39.63,Sapiente minima magni provident repellendus et.,2142,"Tools, Toys & Sports"
Awesome Leather Shoes,73.53,Consequatur molestiae nemo consectetur at modi.,4307,"Tools, Toys & Sports"
Heavy Duty Plastic Hat,88.8,Ut ad accusantium reiciendis dicta velit accusamus et rem.,3838,"Tools, Toys & Sports"
Rustic Rubber Bench,94.11,Laborum quod eos non in ut culpa repellendus consequatur.,1780,"Tools, Toys & Sports"
Aerodynamic Rubber Pants,62.49,Voluptas praesentium placeat qui consequatur quibusdam cumque molestias.,3114,"Tools, Toys & Sports"
Awesome Aluminum Hat,61.79,Ut explicabo laudantium consequatur ratione itaque.,4849,"Tools, Toys & Sports"
Rustic Iron Shirt,96.85,Assumenda nesciunt molestiae dolores amet autem facilis est.,2467,"Tools, Toys & Sports"
Intelligent Paper Watch,12.63,Veniam molestiae molestiae quidem officiis distinctio et molestias amet.,2974,"Tools, Toys & Sports"
Rustic Linen Hat,39.74,Illo temporibus similique exercitationem asperiores possimus voluptatum odio dolorum provident.,4585,"Tools, Toys & Sports"
Sleek Silk Bottle,81.66,Veritatis enim eum nemo ullam.,506,"Tools, Toys & Sports"
Fantastic Silk Bag,50.09,In sed beatae quia qui.,136,"Tools, Toys & Sports"
Fantastic Bronze Knife,96.67,Eos libero iusto quia nihil quasi ab sit odio mollitia.,2148,"Tools, Toys & Sports"
Aerodynamic Linen Bottle,24.97,Rerum qui et ea et nesciunt dolore.,1038,"Tools, Toys & Sports"
Aerodynamic Plastic Coat,16.2,Aut voluptatem assumenda deserunt ullam.,1617,"Tools, Toys & Sports"
Synergistic Rubber Chair,28.2,Dolores dolor vitae optio est aliquam sunt laborum ut.,2812,"Tools, Toys & Sports"
Aerodynamic Linen Plate,96.09,Ipsa quos non optio quasi.,3243,"Tools, Toys & Sports"
Heavy Duty Steel Watch,72.08,At facilis sed eaque hic distinctio qui.,2574,"Tools, Toys & Sports"
Practical Cotton Table,12.89,Hic sint omnis aut voluptatem amet impedit.,886,"Tools, Toys & Sports"
Enormous Cotton Gloves,7.93,Ab aut vitae et distinctio et et illum error.,1394,"Tools, Toys & Sports"
Gorgeous Iron Bench,36.0,Rerum minus ipsam nam quibusdam libero.,1681,"Tools, Toys & Sports"
Awesome Paper Pants,85.18,Cumque quia placeat totam veritatis officiis.,4244,"Tools, Toys & Sports"
Fantastic Bronze Keyboard,82.3,Dolore aliquam quod nihil sit id reiciendis voluptatibus dolores voluptatem.,211,"Tools, Toys & Sports"
Intelligent Concrete Car,7.67,Inventore cum dolorem pariatur vel sed et.,788,"Tools, Toys & Sports"
Gorgeous Steel Coat,61.57,Cumque sunt vero aliquid sunt numquam repellat ut.,3741,"Tools, Toys & Sports"
Ergonomic Steel Bottle,84.58,Illo iste omnis natus labore beatae quia earum.,814,"Tools, Toys & Sports"
Practical Wooden Shirt,4.81,Numquam nobis consectetur eum id quis sint.,4204,"Tools, Toys & Sports"
Intelligent Wooden Computer,10.82,Maxime non aut expedita et a alias laborum in.,1021,"Tools, Toys & Sports"
Practical Linen Shoes,47.94,Aut sit eum recusandae dolores nesciunt dolorum quas.,2489,"Tools, Toys & Sports"
Synergistic Bronze Wallet,1.95,Deleniti qui distinctio quaerat eum aliquid corrupti non possimus quod.,2511,"Tools, Toys & Sports"
